year,month,year_month,normalized_role,role_group,region,job_posting_count,unique_employer_count
2026.0,6.0,2026-06,Software Developer / Software Engineer,Software Development,Central,4,3
2026.0,7.0,2026-07,Software Developer / Software Engineer,Software Development,Central,1,1
2026.0,8.0,2026-08,Data Analyst,Data & Analytics,Central,1,1
2026.0,8.0,2026-08,DevOps / Cloud Engineer,Cloud & DevOps,Central,1,1
2026.0,8.0,2026-08,Software Developer / Software Engineer,Software Development,Central,3,2
