year,month,year_month,normalized_role,role_group,industry_normalized,job_posting_count,unique_employer_count
2026.0,6.0,2026-06,Software Developer / Software Engineer,Software Development,Banking / Finance,2,2
2026.0,6.0,2026-06,Software Developer / Software Engineer,Software Development,Government / Public Sector,2,2
2026.0,8.0,2026-08,Data Analyst,Data & Analytics,Banking / Finance,1,1
2026.0,8.0,2026-08,DevOps / Cloud Engineer,Cloud & DevOps,Banking / Finance,1,1
2026.0,8.0,2026-08,IT Officer / ICT Administrator,IT Operations & Support,Technology / Software,1,1
2026.0,8.0,2026-08,Software Developer / Software Engineer,Software Development,Banking / Finance,2,1
2026.0,8.0,2026-08,Software Developer / Software Engineer,Software Development,Insurance,1,1
