source,source_url,source_job_id,scraped_at,country,title,original_title,company,location_raw,industry_raw,description,raw_text,posted_date,job_status
rwandajob,https://www.rwandajob.com/job-vacancies-rwanda/finance-manager-kigali-180255,180255,2026-09-10T13:03:00.963067,Rwanda,Finance Manager,Finance Manager - Kigali,NEIL CORPORATION LTD,Kigali,#NAME?,"We're recruiting a  Finance Manager.   The  Finance Manager  is responsible for overseeing the organization’s financial operations, planning, reporting, and budgeting. The role ensures sound financial management, regulatory compliance, and accurate information to support strategic business decisions.      Key Responsibilities:    Oversee daily financial and accounting operations.  Prepare budgets, forecasts, financial statements, and management reports.  Monitor cash flow, expenses, and overall financial performance.  Develop financial strategies to support business growth and profitability.  Ensure compliance with accounting standards, tax requirements, and company policies.  Manage accounts payable,...+plus","We're recruiting a  Finance Manager.   The  Finance Manager  is responsible for overseeing the organization’s financial operations, planning, reporting, and budgeting. The role ensures sound financial management, regulatory compliance, and accurate information to support strategic business decisions.      Key Responsibilities:    Oversee daily financial and accounting operations.  Prepare budgets, forecasts, financial statements, and management reports.  Monitor cash flow, expenses, and overall financial performance.  Develop financial strategies to support business growth and profitability.  Ensure compliance with accounting standards, tax requirements, and company policies.  Manage accounts payable,...+plus",,active
rwandajob,https://www.rwandajob.com/job-vacancies-rwanda/fleet-management-assistant-kigali-180486,180486,2026-09-10T13:03:00.963223,Rwanda,Fleet Management Assistant,Fleet Management Assistant  - Kigali,"LOVEWAY RWANDA CO,. LTD",Kigali,#NAME?,"We are seeking a  Fleet Management Assistant  to join our team. This position involves overseeing the company's motorcycle fleet, ensuring proper maintenance, compliance, and operational efficiency within a dynamic professional environment.      Missions:    Maintain accurate and up-to-date records of the motorcycle fleet, including registration, insurance, and inspection documentation.  Monitor and coordinate motorcycle maintenance, repairs, servicing, and spare parts management to ensure optimal fleet performance.  Collaborate with Site Management, and Technicians to resolve motorcycle-related issues and optimize fleet operations.  Conduct or coordinate periodic motorcycle inspections, compile performance...+plus","We are seeking a  Fleet Management Assistant  to join our team. This position involves overseeing the company's motorcycle fleet, ensuring proper maintenance, compliance, and operational efficiency within a dynamic professional environment.      Missions:    Maintain accurate and up-to-date records of the motorcycle fleet, including registration, insurance, and inspection documentation.  Monitor and coordinate motorcycle maintenance, repairs, servicing, and spare parts management to ensure optimal fleet performance.  Collaborate with Site Management, and Technicians to resolve motorcycle-related issues and optimize fleet operations.  Conduct or coordinate periodic motorcycle inspections, compile performance...+plus",,active
rwandajob,https://www.rwandajob.com/job-vacancies-rwanda/recruitment-consultant-kigali-182010,182010,2026-09-10T13:03:00.963369,Rwanda,Recruitment Consultant,Recruitment Consultant - Kigali,NEIL CORPORATION LTD,Kigali,#NAME?,"The Recruitment Consultant is responsible for identifying, attracting, and placing qualified candidates in suitable positions. The role involves working closely with clients and candidates to understand hiring needs and deliver effective recruitment solutions.   Key Responsibilities    Source and attract qualified candidates through various recruitment channels.  Screen and interview candidates based on job requirements.  Build and maintain strong relationships with clients and candidates.  Manage the recruitment process from sourcing to placement.  Conduct candidate assessments and coordinate interviews.  Maintain accurate candidate and client records.  Advise clients on recruitment strategies and market trends.  Follow up with...+plus","The Recruitment Consultant is responsible for identifying, attracting, and placing qualified candidates in suitable positions. The role involves working closely with clients and candidates to understand hiring needs and deliver effective recruitment solutions.   Key Responsibilities    Source and attract qualified candidates through various recruitment channels.  Screen and interview candidates based on job requirements.  Build and maintain strong relationships with clients and candidates.  Manage the recruitment process from sourcing to placement.  Conduct candidate assessments and coordinate interviews.  Maintain accurate candidate and client records.  Advise clients on recruitment strategies and market trends.  Follow up with...+plus",,active
rwandajob,https://www.rwandajob.com/job-vacancies-rwanda/accounts-receivable-manager-kigali-182011,182011,2026-09-10T13:03:00.963514,Rwanda,Accounts Receivable Manager,Accounts Receivable Manager - Kigali,NEIL CORPORATION LTD,Kigali,#NAME?,"The Accounts Receivable Manager oversees the company’s receivables, ensuring timely customer payments, accurate records, and effective credit and collection processes.   Key Responsibilities    Manage accounts receivable operations and billing activities.  Monitor outstanding invoices and follow up on overdue payments.  Reconcile customer accounts and resolve payment discrepancies.  Prepare receivables reports and cash-flow updates.  Develop effective credit and collection procedures.  Coordinate with customers, sales, and finance teams to resolve account issues.  Ensure accurate and timely financial reporting.+plus","The Accounts Receivable Manager oversees the company’s receivables, ensuring timely customer payments, accurate records, and effective credit and collection processes.   Key Responsibilities    Manage accounts receivable operations and billing activities.  Monitor outstanding invoices and follow up on overdue payments.  Reconcile customer accounts and resolve payment discrepancies.  Prepare receivables reports and cash-flow updates.  Develop effective credit and collection procedures.  Coordinate with customers, sales, and finance teams to resolve account issues.  Ensure accurate and timely financial reporting.+plus",,active
rwandajob,https://www.rwandajob.com/job-vacancies-rwanda/territory-account-manager-kigali-182013,182013,2026-09-10T13:03:00.963661,Rwanda,Territory Account Manager,Territory Account Manager - Kigali,NEIL CORPORATION LTD,Kigali,#NAME?,"The Territory Account Manager manages customer accounts within an assigned territory, driving sales growth, strengthening client relationships, and identifying new business opportunities.   Key Responsibilities    Manage and grow existing customer accounts within the territory.  Identify and pursue new sales and business opportunities.  Build strong relationships with key clients and stakeholders.  Develop territory sales plans and achieve revenue targets.  Conduct client meetings, presentations, and product demonstrations.  Monitor market trends and competitor activities.  Prepare sales reports and provide regular territory updates.  Collaborate with internal teams to ensure excellent customer service.+plus","The Territory Account Manager manages customer accounts within an assigned territory, driving sales growth, strengthening client relationships, and identifying new business opportunities.   Key Responsibilities    Manage and grow existing customer accounts within the territory.  Identify and pursue new sales and business opportunities.  Build strong relationships with key clients and stakeholders.  Develop territory sales plans and achieve revenue targets.  Conduct client meetings, presentations, and product demonstrations.  Monitor market trends and competitor activities.  Prepare sales reports and provide regular territory updates.  Collaborate with internal teams to ensure excellent customer service.+plus",,active
rwandajob,https://www.rwandajob.com/job-vacancies-rwanda/software-developer-full-remote-africa-182028,182028,2026-09-10T13:03:00.963848,Rwanda,Software Developer,Software Developer - Full Remote (Africa),AMAZETHU,Full Remote,#NAME?,"We are currently seeking to hire enthusiastic  Software Engineering Interns  for an eight-month contract, with potential for a full-time position upon successful completion. This internship offers a unique chance to engage in all areas of our product development lifecycle as a  generalist with no specific area of focus . Our interns are presented with real business challenges and expected to provide solutions that make a difference across all areas of the company, all while learning the skills needed to successfully navigate a dynamic and fast-paced work environment.   Our organizational values are the core of our function as a company:      Frequent, Open and Honest Communication:  We champion transparency and regular...+plus","We are currently seeking to hire enthusiastic  Software Engineering Interns  for an eight-month contract, with potential for a full-time position upon successful completion. This internship offers a unique chance to engage in all areas of our product development lifecycle as a  generalist with no specific area of focus . Our interns are presented with real business challenges and expected to provide solutions that make a difference across all areas of the company, all while learning the skills needed to successfully navigate a dynamic and fast-paced work environment.   Our organizational values are the core of our function as a company:      Frequent, Open and Honest Communication:  We champion transparency and regular...+plus",,active
rwandajob,https://www.rwandajob.com/job-vacancies-rwanda/community-engagement-officer-kigali-182057,182057,2026-09-10T13:03:00.964070,Rwanda,Community Engagement Officer,Community Engagement Officer - Kigali,DATA- ORBIT LABS,Kigali,#NAME?,"The Community Engagement Officer is responsible for building and maintaining strong relationships between the organization and the communities it serves. The role will lead community mobilization, participation, awareness, consultation, and stakeholder engagement activities to ensure that programs are relevant, inclusive, participatory, and responsive to community needs.    The officer will work closely with community leaders, local government authorities, community-based organizations, beneficiaries, and other stakeholders to promote effective participation and strengthen community ownership of organizational programs and initiatives.     Key Responsibilities      A. Community Mobilization and Engagement      Develop and...+plus","The Community Engagement Officer is responsible for building and maintaining strong relationships between the organization and the communities it serves. The role will lead community mobilization, participation, awareness, consultation, and stakeholder engagement activities to ensure that programs are relevant, inclusive, participatory, and responsive to community needs.    The officer will work closely with community leaders, local government authorities, community-based organizations, beneficiaries, and other stakeholders to promote effective participation and strengthen community ownership of organizational programs and initiatives.     Key Responsibilities      A. Community Mobilization and Engagement      Develop and...+plus",,active
rwandajob,https://www.rwandajob.com/job-vacancies-rwanda/angular-developer-mf-98977,98977,2026-09-10T13:03:00.964375,Rwanda,ANGULAR Developer (M/F),ANGULAR Developer (M/F),AFRICASHORE,Rwanda,#NAME?,"We are looking for  ANGULAR Developer  profiles / CVs to pass on to our clients for their future recruitment campaigns. 
   
  Mission:  
   
 
	 Working within a Team to determine needs and applying / customizing existing technology to meet those needs. 
	 Producing detailed specifications and writing the program codes that perform efficiently. 
	 Write clean, scalable, reusable code using ANGULAR framework such as LumX, NGX-Bootstrap, Vue.js etc. 
	 Be responsible for providing technical guidance or solutions. 
	 Define, advocate, and implement best practices and coding standards for the team. 
	 Develop and guide the team members in enhancing their technical capabilities and increasing productivity. 
	 Manage, train...+plus","We are looking for  ANGULAR Developer  profiles / CVs to pass on to our clients for their future recruitment campaigns. 
   
  Mission:  
   
 
	 Working within a Team to determine needs and applying / customizing existing technology to meet those needs. 
	 Producing detailed specifications and writing the program codes that perform efficiently. 
	 Write clean, scalable, reusable code using ANGULAR framework such as LumX, NGX-Bootstrap, Vue.js etc. 
	 Be responsible for providing technical guidance or solutions. 
	 Define, advocate, and implement best practices and coding standards for the team. 
	 Develop and guide the team members in enhancing their technical capabilities and increasing productivity. 
	 Manage, train...+plus",,active
rwandajob,https://www.rwandajob.com/job-vacancies-rwanda/devops-engineer-mf-98978,98978,2026-09-10T13:03:00.964590,Rwanda,DevOps Engineer (M/F),DevOps Engineer (M/F),AFRICASHORE,Rwanda,#NAME?,"We are looking for  DevOps Engineer  profiles / CVs to pass on to our clients for their future recruitment campaigns. 
   
  Mission:  
   
 
	 Ensure effective Design, Development, Validation and Support activities. 
	 Defining and setting development, test, release, deploy/implementation for DevOps operation. 
	 To play a key role in the overall estimation of work requirements. 
	 Be a key contributor to building efficient programs/ systems. 
	 Application Development and Maintenance. 
	 Knowledge of design principles and fundamentals of architecture. 
	 Knowledge of quality processes and estimation techniques. 
	 Basic understanding of project domain. 
	 Ability to translate functional / nonfunctional requirements...+plus","We are looking for  DevOps Engineer  profiles / CVs to pass on to our clients for their future recruitment campaigns. 
   
  Mission:  
   
 
	 Ensure effective Design, Development, Validation and Support activities. 
	 Defining and setting development, test, release, deploy/implementation for DevOps operation. 
	 To play a key role in the overall estimation of work requirements. 
	 Be a key contributor to building efficient programs/ systems. 
	 Application Development and Maintenance. 
	 Knowledge of design principles and fundamentals of architecture. 
	 Knowledge of quality processes and estimation techniques. 
	 Basic understanding of project domain. 
	 Ability to translate functional / nonfunctional requirements...+plus",,active
rwandajob,https://www.rwandajob.com/job-vacancies-rwanda/dotnet-developer-mf-98979,98979,2026-09-10T13:03:00.964785,Rwanda,DOTNET Developer (M/F),DOTNET Developer (M/F),AFRICASHORE,Rwanda,#NAME?,"We are looking for  DOTNET Developer  profiles / CVs to pass on to our clients for their future recruitment campaigns. 
   
  Mission:  
   
 
	 Working within a Team to determine needs and applying / customizing existing technology to meet those needs. 
	 Producing detailed specifications and writing the program codes that perform efficiently. 
	 Write clean, scalable, reusable code using.NET programming languages. 
	 Advanced conceptual understanding of at least one Programming Language. 
	 Advanced conceptual understanding of one database and one Operating System. 
	 Understanding of Software Engineering with practice in at least one project. 
	 Exposure to Design Principles and ability to understand Design...+plus","We are looking for  DOTNET Developer  profiles / CVs to pass on to our clients for their future recruitment campaigns. 
   
  Mission:  
   
 
	 Working within a Team to determine needs and applying / customizing existing technology to meet those needs. 
	 Producing detailed specifications and writing the program codes that perform efficiently. 
	 Write clean, scalable, reusable code using.NET programming languages. 
	 Advanced conceptual understanding of at least one Programming Language. 
	 Advanced conceptual understanding of one database and one Operating System. 
	 Understanding of Software Engineering with practice in at least one project. 
	 Exposure to Design Principles and ability to understand Design...+plus",,active
